plant,day_after_leaf6,spike.length.mm
1rouge,-1,1.8
7rouge,0,2
5blanc,1,2.5
70,4,2.993843337
83,4,4.002638374
1bleu,7,4.295514353
2blanc,3,4.393139679
4blanc,4,4.822691115
14,4,5.247361284
8rouge,4,5.97955123
4bleu,6,8.981530011
2bleu,7,9.762532621
5rouge,7,9.840632882
6rouge,7,11.71503914
7bleu,7,14.39973562
8bleu,7,15.86411551
3rouge,7,16.69393078
47,12,34
80,14,46
42,12,48
74,14,62
73,14,65
81,14,65
78,15,65
82,15,70
76,17,72
8blanc,14,80
6bleu,17,80
88,19,80
4rouge,14,85
7blanc,14,100
86,19,105
77,18,115
85,20,115
