plante;traitement;talle;spikelet.nb;flowering date
1;T0a;BM;1;02/04/2021
1;T0a;BM;2;02/04/2021
1;T0a;BM;3;31/03/2021
1;T0a;BM;4;02/04/2021
1;T0a;BM;5;31/03/2021
1;T0a;BM;6;02/04/2021
1;T0a;BM;7;02/04/2021
1;T0a;BM;8;01/04/2021
1;T0a;BM;9;31/03/2021
1;T0a;BM;10;31/03/2021
1;T0a;BM;11;31/03/2021
1;T0a;BM;12;31/03/2021
1;T0a;BM;13;31/03/2021
1;T0a;BM;14;31/03/2021
1;T0a;BM;15;31/03/2021
1;T0a;BM;16;31/03/2021
1;T0a;BM;17;31/03/2021
1;T0a;BM;18;02/02/2021
1;T0a;BM;19;31/03/2021
1;T0a;BM;20;02/04/2021
1;T0a;T1;2;03/04/2021
1;T0a;T1;3;03/04/2021
1;T0a;T1;4;02/04/2021
1;T0a;T1;5;03/04/2021
1;T0a;T1;6;02/04/2021
1;T0a;T1;7;03/04/2021
1;T0a;T1;8;01/04/2021
1;T0a;T1;9;02/04/2021
1;T0a;T1;10;02/04/2021
1;T0a;T1;11;02/04/2021
1;T0a;T1;12;02/04/2021
1;T0a;T1;13;02/04/2021
1;T0a;T1;14;01/04/2021
1;T0a;T1;15;31/03/2021
1;T0a;T1;16;01/04/2021
1;T0a;T1;17;31/03/2021
1;T0a;T1;18;31/03/2021
1;T0a;T1;19;31/03/2021
1;T0a;T1;20;01/04/2021
1;T0a;T1;21;01/04/2021
1;T0a;T1;22;02/04/2021
1;T0a;T2;2;02/04/2021
1;T0a;T2;3;03/04/2021
1;T0a;T2;4;02/04/2021
1;T0a;T2;5;02/04/2021
1;T0a;T2;6;02/04/2021
1;T0a;T2;7;02/04/2021
1;T0a;T2;8;02/04/2021
1;T0a;T2;9;02/04/2021
1;T0a;T2;10;02/04/2021
1;T0a;T2;11;02/04/2021
1;T0a;T2;12;31/03/2021
1;T0a;T2;13;31/03/2021
1;T0a;T2;14;31/03/2021
1;T0a;T2;15;31/03/2021
1;T0a;T2;16;31/03/2021
1;T0a;T2;17;31/03/2021
1;T0a;T2;18;31/03/2021
1;T0a;T2;19;31/03/2021
1;T0a;T2;20;02/04/2021
1;T0a;T3;2;05/04/2021
1;T0a;T3;3;05/04/2021
1;T0a;T3;4;05/04/2021
1;T0a;T3;5;05/04/2021
1;T0a;T3;6;03/04/2021
1;T0a;T3;8;03/04/2021
1;T0a;T3;9;03/04/2021
1;T0a;T3;10;03/04/2021
1;T0a;T3;11;03/04/2021
1;T0a;T3;12;03/04/2021
1;T0a;T3;13;06/04/2021
1;T0a;T3;14;03/04/2021
1;T0a;T3;15;03/04/2021
1;T0a;T3;16;03/04/2021
1;T0a;T3;17;03/04/2021
1;T0a;T3;18;03/04/2021
1;T0a;T3;19;03/04/2021
1;T0a;T3;20;05/04/2021
1;T0a;T3;21;05/04/2021
2;T0b;BM;1;06/04/2021
2;T0b;BM;2;03/04/2021
2;T0b;BM;3;03/04/2021
2;T0b;BM;4;03/04/2021
2;T0b;BM;5;03/04/2021
2;T0b;BM;6;02/04/2021
2;T0b;BM;7;03/04/2021
2;T0b;BM;8;02/04/2021
2;T0b;BM;9;02/04/2021
2;T0b;BM;10;02/04/2021
2;T0b;BM;11;01/04/2021
2;T0b;BM;12;02/04/2021
2;T0b;BM;13;01/04/2021
2;T0b;BM;14;01/04/2021
2;T0b;BM;15;01/04/2021
2;T0b;BM;16;01/04/2021
2;T0b;BM;17;01/04/2021
2;T0b;BM;18;01/04/2021
2;T0b;BM;19;31/03/2021
2;T0b;BM;20;01/04/2021
2;T0b;BM;21;03/04/2021
2;T0b;T1;2;07/04/2021
2;T0b;T1;3;05/04/2021
2;T0b;T1;4;05/04/2021
2;T0b;T1;5;05/04/2021
2;T0b;T1;6;05/04/2021
2;T0b;T1;7;03/04/2021
2;T0b;T1;8;03/04/2021
2;T0b;T1;9;03/04/2021
2;T0b;T1;10;03/04/2021
2;T0b;T1;11;03/04/2021
2;T0b;T1;12;03/04/2021
2;T0b;T1;13;03/04/2021
2;T0b;T1;14;06/04/2021
2;T0b;T1;15;03/04/2021
2;T0b;T1;16;04/04/2021
2;T0b;T1;17;04/04/2021
2;T0b;T1;18;03/04/2021
2;T0b;T1;19;03/04/2021
2;T0b;T1;20;03/04/2021
2;T0b;T1;21;02/04/2021
2;T0b;T1;22;04/04/2021
2;T0b;T2;2;05/04/2021
2;T0b;T2;3;05/04/2021
2;T0b;T2;4;04/04/2021
2;T0b;T2;5;04/04/2021
2;T0b;T2;6;04/04/2021
2;T0b;T2;7;03/04/2021
2;T0b;T2;8;04/04/2021
2;T0b;T2;9;03/04/2021
2;T0b;T2;10;03/04/2021
2;T0b;T2;11;03/04/2021
2;T0b;T2;12;02/04/2021
2;T0b;T2;13;03/04/2021
2;T0b;T2;14;02/04/2021
2;T0b;T2;15;03/04/2021
2;T0b;T2;16;03/04/2021
2;T0b;T2;17;02/04/2021
2;T0b;T2;18;03/04/2021
2;T0b;T2;19;02/04/2021
2;T0b;T2;20;02/04/2021
2;T0b;T2;21;03/04/2021
2;T0b;T3;2;07/04/2021
2;T0b;T3;3;07/04/2021
2;T0b;T3;4;06/04/2021
2;T0b;T3;5;06/04/2021
2;T0b;T3;6;06/04/2021
2;T0b;T3;7;06/04/2021
2;T0b;T3;8;07/04/2021
2;T0b;T3;9;07/04/2021
2;T0b;T3;10;05/04/2021
2;T0b;T3;11;05/04/2021
2;T0b;T3;12;05/04/2021
2;T0b;T3;13;05/04/2021
2;T0b;T3;14;05/04/2021
2;T0b;T3;15;05/04/2021
2;T0b;T3;16;05/04/2021
2;T0b;T3;17;05/04/2021
2;T0b;T3;18;05/04/2021
2;T0b;T3;19;05/04/2021
2;T0b;T3;20;05/04/2021
3;T0a;T1;18;03/04/2021
3;T0a;T1;19;03/04/2021
3;T0a;T1;20;03/04/2021
3;T0a;T1;21;03/04/2021
3;T0a;T1;22;03/04/2021
3;T0a;T2;2;10/04/2021
3;T0a;T2;3;05/04/2021
3;T0a;T2;4;05/04/2021
3;T0a;T2;5;04/04/2021
3;T0a;T2;6;03/04/2021
