n° photo;lg anthère1;lg anthère2;lg anthère3;grossissement;largeur image écran;Lg anthères (mm);plante;traitement;date prélèvement;talle;épillet;fleur;lg_épi_mm
123;113;120;;20;233;2,596833677;7blanc;T0a;19/03/2021;BM;13;1;100
124;102;98;;35;233;1,273738162;7blanc;T0a;19/03/2021;BM;13;4;100
125;114;115;;25;233;2,041802273;7blanc;T0a;19/03/2021;BM;6;1;100
126;60;64;;35;233;0,78971766;7blanc;T0a;19/03/2021;BM;6;4;100
127;104;110;;20;233;2,385074708;7blanc;T0a;19/03/2021;BM;20;1;100
128;60;60;61;10;233;2,689710418;7blanc;T0a;19/03/2021;BM;15;1;100
129;41;37;;30;233;0,579550864;7blanc;T0a;19/03/2021;BM;15;5;100
130;90;90;89;20;233;1,998707465;7blanc;T0a;19/03/2021;T1;13;1;58
131;100;99;;35;233;1,267369471;7blanc;T0a;19/03/2021;T1;13;3;58
132;77;75;;20;233;1,694071755;7blanc;T0a;19/03/2021;T1;20;1;58
133;43;55;;35;233;0,624131699;7blanc;T0a;19/03/2021;T1;20;4;58
134;78;80;;25;233;1,408754407;7blanc;T0a;19/03/2021;T1;6;1;58
135;59;57;56;35;233;0,730276546;7blanc;T0a;19/03/2021;T1;6;4;58
136;114;109;;35;233;1,42021805;7blanc;T0a;19/03/2021;T2;13;1;40
137;41;41;39;35;233;0,513741059;7blanc;T0a;19/03/2021;T2;13;4;40
146;55;;;35;210;0,77728355;47;T7;23/03/2021;BM;13;1;34
150;61;63;58;20;210;1,500392791;42;T2;23/03/2021;BM;13;1;48
153;55;52;;35;210;0,756084907;42;T2;23/03/2021;BM;3;1;48
154;61;56;;30;210;0,964538223;42;T2;23/03/2021;BM;6;1;48
156;100;96;97;35;210;1,380267152;42;T2;23/03/2021;BM;9;1;48
157;76;80;76;25;210;1,53007089;42;T2;23/03/2021;BM;12;1;48
158;64;61;60;20;210;1,525124541;42;T2;23/03/2021;BM;15;1;48
159;67;67;70;25;210;1,345407162;42;T2;23/03/2021;BM;15;2;48
160;68;65;65;35;210;0,93274026;42;T2;23/03/2021;BM;15;3;48
161;44;45;;35;210;0,628893054;42;T2;23/03/2021;BM;15;4;48
162;20;;;35;210;0,282648563;42;T2;23/03/2021;BM;15;5;48
163;62;59;60;20;210;1,492148875;42;T2;23/03/2021;BM;18;1;48
164;71;69;69;25;210;1,378382828;42;T2;23/03/2021;BM;20;1;48
165;37;38;36;35;210;0,522899842;42;T2;23/03/2021;BM;1;1;48
166;54;50;;25;210;1,028840771;42;T2;23/03/2021;T1;15;1;30
167;64;58;55;35;210;0,833813262;42;T2;23/03/2021;T1;12;1;30
168;50;46;47;35;210;0,673645743;42;T2;23/03/2021;T2;15;1;20
169;38;36;39;35;210;0,532321461;42;T2;23/03/2021;T0;15;1;17
170;37;32;35;35;210;0,489924177;42;T2;23/03/2021;T3;15;1;15
171;39;40;37;20;210;0,956294306;47;T7;23/03/2021;BM;15;1;34
172;55;55;;35;210;0,77728355;47;T7;23/03/2021;BM;12;1;34
211;96;93;90;20;266;1,815831067;77;T2;31/03/2021;BM;3;1;115
212;114;112;106;20;266;2,160773887;4rouge;T0b;19/03/2021;BM;15;1;85
213;120;125;125;20;266;2,40809138;4rouge;T0b;19/03/2021;BM;12;1;85
214;116;113;111;20;266;2,212840727;4rouge;T0b;19/03/2021;BM;9;1;85
215;93;92;95;20;266;1,822339423;4rouge;T0b;19/03/2021;BM;6;1;85
