date;DAS;pot;plant;stage;tiller.nb;FLN;Scenario
02/03/2021;22;1;1blanc;6,5;4;8;S0a
05/03/2021;25;1;1blanc;6,8;4;8;S0a
08/03/2021;28;1;1blanc;7,5;6;8;S0a
10/03/2021;30;1;1blanc;7,8;8;8;S0a
12/03/2021;32;1;1blanc;8,2;7;8;S0a
17/03/2021;37;1;1blanc;8,8;;8;S0a
02/03/2021;22;1;1bleu;5,5;2;7;S0a
05/03/2021;25;1;1bleu;6;2;7;S0a
08/03/2021;28;1;1bleu;6,5;2;7;S0a
10/03/2021;30;1;1bleu;7;5;7;S0a
12/03/2021;32;1;1bleu;7,2;5;7;S0a
02/03/2021;22;1;1rouge;5,5;3;xx;S0a
02/03/2021;22;2;2blanc;5,2;2;7;S0b
05/03/2021;25;2;2blanc;6,2;3;7;S0b
08/03/2021;28;2;2blanc;6,5;5;7;S0b
02/03/2021;22;2;2bleu;5,2;2;7;S0b
05/03/2021;25;2;2bleu;6,2;3;7;S0b
08/03/2021;28;2;2bleu;6,5;4;7;S0b
10/03/2021;30;2;2bleu;6,8;6;7;S0b
12/03/2021;32;2;2bleu;7,2;;7;S0b
02/03/2021;22;2;2rouge;5,2;2;xx;S0b
05/03/2021;25;2;2rouge;6,2;3;xx;S0b
08/03/2021;28;2;2rouge;6,5;6;xx;S0b
10/03/2021;30;2;2rouge;7,2;6;xx;S0b
12/03/2021;32;2;2rouge;7,5;;xx;S0b
17/03/2021;37;2;2rouge;8,5;;xx;S0b
02/03/2021;22;3;3blanc;5,5;2;xx;S0a
05/03/2021;25;3;3blanc;6,2;3;xx;S0a
08/03/2021;28;3;3blanc;6,5;4;xx;S0a
10/03/2021;30;3;3blanc;6,8;6;xx;S0a
12/03/2021;32;3;3blanc;7,2;5;xx;S0a
17/03/2021;37;3;3blanc;7,8;;xx;S0a
02/03/2021;22;3;3bleu;5,5;2;7;S0a
05/03/2021;25;3;3bleu;6,2;3;7;S0a
08/03/2021;28;3;3bleu;6,5;5;7;S0a
02/03/2021;22;3;3rouge;5,2;3;7;S0a
05/03/2021;25;3;3rouge;6,2;3;7;S0a
08/03/2021;28;3;3rouge;6,5;6;7;S0a
10/03/2021;30;3;3rouge;7;6;7;S0a
12/03/2021;32;3;3rouge;7,2;7;7;S0a
02/03/2021;22;4;4blanc;5,2;3;7;S0b
05/03/2021;25;4;4blanc;6,2;3;7;S0b
08/03/2021;28;4;4blanc;7;5;7;S0b
02/03/2021;22;4;4bleu;5,5;3;7;S0b
05/03/2021;25;4;4bleu;5,8;3;7;S0b
08/03/2021;28;4;4bleu;6,2;5;7;S0b
10/03/2021;30;4;4bleu;6,5;5;7;S0b
12/03/2021;32;4;4bleu;7,2;;7;S0b
02/03/2021;22;4;4rouge;5,2;2;7;S0b
05/03/2021;25;4;4rouge;6,2;3;7;S0b
08/03/2021;28;4;4rouge;6,5;6;7;S0b
10/03/2021;30;4;4rouge;6,8;6;7;S0b
12/03/2021;32;4;4rouge;7,2;;7;S0b
17/03/2021;37;4;4rouge;7,8;;7;S0b
02/03/2021;22;5;5blanc;6;6;xx;S0a
02/03/2021;22;5;5bleu;5,2;3;xx;S0a
05/03/2021;25;5;5bleu;6,2;3;xx;S0a
08/03/2021;28;5;5bleu;6,5;5;xx;S0a
10/03/2021;30;5;5bleu;7,2;5;xx;S0a
12/03/2021;32;5;5bleu;7,5;6;xx;S0a
17/03/2021;37;5;5bleu;8,8;;xx;S0a
02/03/2021;22;5;5rouge;5,2;3;7;S0a
05/03/2021;25;5;5rouge;6,2;4;7;S0a
08/03/2021;28;5;5rouge;7;6;7;S0a
10/03/2021;30;5;5rouge;7,5;7;7;S0a
12/03/2021;32;5;5rouge;7,8;8;7;S0a
02/03/2021;22;6;6bleu;5,2;2;7;S0b
05/03/2021;25;6;6bleu;6,2;3;7;S0b
08/03/2021;28;6;6bleu;6,5;3;7;S0b
10/03/2021;30;6;6bleu;7,2;3;7;S0b
12/03/2021;32;6;6bleu;7,5;;7;S0b
17/03/2021;37;6;6bleu;8,8;;7;S0b
02/03/2021;22;6;6rouge;5,5;4;7;S0b
05/03/2021;25;6;6rouge;6,2;3;7;S0b
08/03/2021;28;6;6rouge;6,5;6;7;S0b
10/03/2021;30;6;6rouge;7;6;7;S0b
12/03/2021;32;6;6rouge;7,2;;7;S0b
02/03/2021;22;7;7blanc;5,2;3;7;S0a
05/03/2021;25;7;7blanc;6,2;3;7;S0a
