plant;scenario;sampling date;tiller;spike.name;stage;FLN.BM;ligule-difference(mm);dist ligule FL-FL-1 (mm);Dist spike heuight-ligule FL-1 (mm);Spike length (mm);obs;TS-stage
14;S6;15/03/2021;T2;14_T2;3,8;;;;;2,488051171;après TS;2
83;S6;17/03/2021;T2;83_T2;3,8;;;;;2,603342032;après TS;2
70;S6;15/03/2021;T1;70_T1;4,5;8;;;;2,603342032;après TS;2
14;S6;15/03/2021;T1;14_T1;4,5;;;;;2,798592685;après TS;2
87;S6;15/03/2021;T1;87_T1;4,2;;;;;2,889709656;après TS;2
8bleu;S0b;12/03/2021;T3;8bleu_T3;3,2;;;;;3,045910178;après TS;2
83;S6;17/03/2021;T1;83_T1;4,5;;;;;3,436411482;après TS;2
83;S6;17/03/2021;BM;83_BM;6,8;;;;;4,002638374;après TS;2
5rouge;S0a;12/03/2021;T4;5rouge_T4;2,2;;;;;1,416961878;avant TS;0
70;S6;15/03/2021;T1.1;70_T1.1;2,5;8;;;;1,506219319;avant TS;0
14;S6;15/03/2021;T3;14_T3;2,8;;;;;1,517376499;avant TS;0
87;S6;15/03/2021;T0;87_T0;3,5;;;;;1,562005219;avant TS;0
83;S6;17/03/2021;T3;83_T3;2,8;;;;;1,562005219;avant TS;0
70;S6;15/03/2021;T2.1;70_T2.1;2,8;8;;;;1,562005219;avant TS;0
5rouge;S0a;12/03/2021;T2.2;5rouge_T2.2;2,2;;;;;1,62708877;avant TS;0
8rouge;S0b;08/03/2021;T2.1;8rouge_T2.1;2,8;;;;;1,729362921;avant TS;0
87;S6;15/03/2021;T1.1;87_T1.1;2,5;;;;;1,740520102;avant TS;0
4blanc;S0b;08/03/2021;T1.1;4blanc_T1.1;2,8;;;;;1,785148822;avant TS;0
14;S6;15/03/2021;T1.1;14_T1.1;2,5;;;;;1,807463182;avant TS;0
87;S6;15/03/2021;T3;87_T3;2,8;;;;;1,840934723;avant TS;0
4bleu;S0b;12/03/2021;T1.2;4bleu_T1.2;3,5;;;;;1,896720623;avant TS;0
1bleu;S0a;12/03/2021;T1.1;1bleu_T1.1;3,2;8;;;;1,004146212;bien avant TS;0
83;S6;17/03/2021;T1.1;83_T1.1;2,5;;;;;1,416961878;bien avant TS;0
14;S6;15/03/2021;T2.1;14_T2.1;2,8;;;;;1,450433418;bien avant TS;0
83;S6;17/03/2021;T2.1;83_T2.1;2,8;;;;;1,59547676;bien avant TS;0
6rouge;S0b;12/03/2021;T2;6rouge_T2;4,5;;;;;5,310817746;inversion T1-T2 sur les photos;
6rouge;S0b;12/03/2021;T1;6rouge_T1;4,8;;;;;8,08337701;inversion T1-T2 sur les photos;
1rouge;S0a;03/03/2021;BM;1rouge_BM;5,5;;;;;1,8;juste avant TS;0
83;S6;17/03/2021;T0;83_T0;3,5;;;;;1,941349344;juste avant TS;0
6rouge;S0b;12/03/2021;T2.1;6rouge_T2.1;3,2;;;;;1,896720623;"presque TS ; inversion T1.1-T2.1 sur les photos";0
2bleu;S0b;12/03/2021;T1.1;2bleu_T1.1;2,8;;;;;1,562005219;stade double ridge;0
70;S6;15/03/2021;T3;70_T3;2,8;8;;;;1,896720623;stade TS;1
70;S6;15/03/2021;T2;70_T2;3,8;8;;;;1,941349344;stade TS;1
14;S6;15/03/2021;T0;14_T0;3,2;;;;;1,974820884;stade TS;1
4bleu;S0b;12/03/2021;T1.1;4bleu_T1.1;3,5;;;;;2,061846889;stade TS;1
4bleu;S0b;12/03/2021;T3;4bleu_T3;3,2;;;;;2,142178586;stade TS;1
4bleu;S0b;12/03/2021;T1.1;4bleu_T1.1;3,5;;;;;2,147757177;stade TS;1
2blanc;S0b;08/03/2021;T3;2blanc_T3;2,8;;;;;2,147757177;stade TS;1
7bleu;S0a;12/03/2021;T2.1;7bleu_T2.1;3,2;;;;;2,264907568;stade TS;1
2blanc;S0b;08/03/2021;T2;2blanc_T2;3,8;;;;;2,264907568;stade TS;1
5rouge;S0a;12/03/2021;T2.1;5rouge_T2.1;3,2;;;;;2,277924278;stade TS;1
2bleu;S0b;12/03/2021;T3;2bleu_T3;3,8;;;;;2,277924278;stade TS;1
2blanc;S0b;08/03/2021;T2;2blanc_T2;3,8;;;;;2,277924278;stade TS;1
80;S7;26/03/2021;T0.1;80_T0.1;;7;55;xx;xx;2,287221928;stade TS;1
8rouge;S0b;08/03/2021;T0;8rouge_T0;3,2;;;;;2,287221928;stade TS;1
80;S7;26/03/2021;T3.1;80_T3.1;;7;55;xx;xx;2,343007829;stade TS;1
