plante;date_TS;prélèvement;age_épi_jours_TS;jours_semis_moy;Lg_épi_BM_mm
1bleu;05/03/2021;12/03/2021;7;32;4,295514353
1rouge;04/03/2021;03/03/2021;-1;24;1,8
2blanc;04/03/2021;08/03/2021;4;29;4,393139679
2bleu;04/03/2021;12/03/2021;8;33;9,762532621
3rouge;04/03/2021;12/03/2021;8;33;16,69393078
4blanc;04/03/2021;08/03/2021;4;29;4,822691115
4bleu;06/03/2021;12/03/2021;6;31;8,981530011
4rouge;04/03/2021;19/03/2021;15;40;85
5blanc;02/03/2021;03/03/2021;1;26;2,5
5rouge;04/03/2021;12/03/2021;8;33;9,840632882
6bleu;04/03/2021;22/03/2021;18;43;80
6rouge;04/03/2021;12/03/2021;8;33;11,71503914
7blanc;04/03/2021;19/03/2021;15;40;100
7bleu;04/03/2021;12/03/2021;8;33;14,39973562
7rouge;04/03/2021;03/03/2021;-1;24;2
8blanc;04/03/2021;19/03/2021;15;40;80
8bleu;04/03/2021;12/03/2021;8;33;15,86411551
8rouge;04/03/2021;08/03/2021;4;29;5,97955123
14;11/03/2021;15/03/2021;4;29;5,247361284
42;11/03/2021;23/03/2021;12;37;48
47;11/03/2021;23/03/2021;12;37;34
70;11/03/2021;15/03/2021;4;29;3,000351692
73;13/03/2021;27/03/2021;14;39;65
74;12/03/2021;26/03/2021;14;39;62
76;14/03/2021;29/03/2021;15;40;72
77;14/03/2021;31/03/2021;17;42;115
78;13/03/2021;27/03/2021;14;39;65
80;12/03/2021;26/03/2021;14;39;46
81;13/03/2021;27/03/2021;14;39;65
82;13/03/2021;27/03/2021;14;39;70
83;14/03/2021;17/03/2021;3;28;4,002638374
85;14/03/2021;01/04/2021;18;43;115
86;15/03/2021;01/04/2021;17;42;105
88;14/03/2021;30/03/2021;16;41;80
