<<<<<<< HEAD
﻿plante;traitement;date prélèvement;jours apres 6,0;age_plante_stadeTS_BM;age épi_jours_TS;date_6F_BM;jours en stress;age_épi_jours20°C_TS;talle;code_épi;age épi_jours_TS;F visibles;F drapeau BM;distance ligules BM (mm);ligules drapeau-drapeau-1 (mm);sommet épi - ligule drapeau-1 (mm);lg épi BM;lg épi réelle (mm);LN(lg épi/lg épi BM);n° photo;grossissement;lg sur écran;largeur image écran;remarque;
5blanc;S0a;03/03/2021;1,00;1,0;0,7;02/03/2021;0;0,70;BM;5blanc_BM;0,7;6,2;;;;;2,5;2,5;0;;;;;stade TS;
5blanc;S0a;03/03/2021;1,00;1,0;-1,1;02/03/2021;0;-1,08;T1;5blanc_T1;-1,1;;;;;;2,5;2;-0,223143551;;;;;stade TS pile;
1rouge;S0a;03/03/2021;-1,00;-1,0;-1,3;04/03/2021;0;-1,30;BM;1rouge_BM;-1,3;5,5;;;;;1,8;1,8;0;;;;;juste avant TS;
7rouge;S0a;04/03/2021;0,00;0,0;-0,3;04/03/2021;0;-0,30;BM;7rouge_BM;-0,3;6;;;;;2;2;0;;;;;stade TS pile;
47;S7;23/03/2021;12,00;12,0;11,7;11/03/2021;5;13,83;BM;47_BM;11,7;;7;30;30;-70;34;34;0;;;;;;
47;S7;23/03/2021;12,00;12,0;9,9;11/03/2021;5;12,04;T1;47_T1;9,9;;7;30;0;-95;34;20;-0,530628251;;;;;;
47;S7;23/03/2021;12,00;12,0;6,1;11/03/2021;5;8,21;T0;47_T0;6,1;;7;30;xx;-90;34;6,588980972;-1,640961821;147;10;170;268;;
47;S7;23/03/2021;12,00;12,0;9,1;11/03/2021;5;11,23;T2;47_T2;9,1;;7;30;xx;-115;34;11,14312958;-1,115537397;148;8;230;268;;
47;S7;23/03/2021;12,00;12,0;5,8;11/03/2021;5;7,90;T3;47_T3;5,8;;7;30;xx;-115;34;10,07726502;-1,216078627;149;8;208;268;;
42;S2;23/03/2021;12,00;12,0;11,7;11/03/2021;0;11,70;BM;42_BM;11,7;;7;30;30;-75;48;48;0;;;;;;
42;S2;23/03/2021;12,00;12,0;9,9;11/03/2021;0;9,92;T1;42_T1;9,9;;7;30;xx;-100;48;30;-0,470003629;;;;;;
42;S2;23/03/2021;12,00;12,0;9,1;11/03/2021;0;9,10;T2;42_T2;9,1;;7;30;xx;-100;48;20;-0,875468737;;;;;;
42;S2;23/03/2021;12,00;12,0;6,1;11/03/2021;0;6,08;T0;42_T0;6,1;;7;30;xx;-120;48;17;-1,037987667;;;;;;
42;S2;23/03/2021;12,00;12,0;5,8;11/03/2021;0;5,78;T3;42_T3;5,8;;7;30;xx;-110;48;15;-1,16315081;;;;;;
42;S2;23/03/2021;12,00;12,0;2,3;11/03/2021;0;2,27;T4;42_T4;2,3;;7;30;xx;xx;48;5,135529287;-2,235018098;151;16;212;268;;
42;S2;23/03/2021;12,00;12,0;4,7;11/03/2021;0;4,65;T1.1;42_T1.1;4,7;;7;30;xx;xx;48;10,17416179;-1,551349662;152;8;210;268;;
7blanc;S0a;19/03/2021;15,00;15,0;14,7;04/03/2021;0;14,70;BM;7blanc_BM;14,7;;7;100;100;25;100;100;0;;;;;;
